Word	Annotation	Sense	Part of Speech	Level	Russian
der	der		art, pron, pron	A1	тот
und	und		conj	A1	и
in	in		prep	A1	в
sein, ist, war, ist gewesen	sein, ist, war, ist gewesen		verb, aux	A1	быть, есть, было, было
ein	ein		art, pron	A1	а
haben, hat, hatte, hat gehabt	haben, hat, hatte, hat gehabt		verb, aux	A1	иметь, имел, имел, имел
sie	sie		pron, pron, pron	A1	она
werden, wird, wurde, ist geworden	werden, wird, wurde, ist geworden		verb, aux, aux	A1	стать, будет, стал, стал
von	von		prep	A1	из
ich	ich		pron	A1	я
nicht	nicht		part	A1	нет
es	es		pron	A1	это
mit	mit		prep	A1	с
sich	sich		pron	A1	себя
er	er		pron	A1	он
auf	auf		prep	A1	на
für	für		prep	A1	для
auch	auch		adv	A1	также
an	an		prep	A1	на
dass	dass		conj	A1	что
zu	zu		part, prep, part	A1	чтобы
als	als		conj, part	A1	как
können, kann, konnte, hat können	können, kann, konnte, hat können		verb	A1	может, может, смог, смог
dies	dies		pron	A1	это
wie	wie		pron, part	A1	нравится
wir	wir		pron	A1	мы
ihr	ihr		pron, pron, pron	A1	она
so	so		adv, part	A1	вот так
bei	bei		prep	A1	в
sein	sein		pron	A1	быть
aber	aber		conj, part	A1	но
man	man		pron	A1	мужчина
noch	noch		adv	A1	еще
nach	nach		prep	A1	после
oder	oder		conj	A1	или
all	all		pron	A1	все
aus	aus		prep	A1	из
was	was		pron	A1	что
nur	nur		adv	A1	просто
sagen, sagt, sagte, hat gesagt	sagen, sagt, sagte, hat gesagt		verb	A1	скажи, говорит, сказал, сказал
dann	dann		adv	A1	тогда
wenn	wenn		conj	A1	если
müssen, muss, musste, hat gemusst	müssen, muss, musste, hat gemusst		verb	A1	придется, должен, пришлось, пришлось
um	um		prep, conj	A1	вокруг
ja	ja		part	A1	да
kein	kein		pron	A1	нет
über	über		prep	A1	о
da	da		adv, conj	A1	там
geben, gibt, gab, hat gegeben	geben, gibt, gab, hat gegeben		verb	A1	дать, дает, дал, дал
vor	vor		prep	A1	раньше
mein	mein		pron	A1	мой
mehr	mehr		adv	A1	больше
Jahr	das Jahr, -e		das	A1	год
du	du		pron	A1	ты
durch	durch		prep	A1	через
viel	viel		pron	A1	много
wollen, will, wollte, hat gewollt	wollen, will, wollte, hat gewollt		verb	A1	хочу, хочу, хотел, хотел
machen, macht, machte, hat gemacht	machen, macht, machte, hat gemacht		verb	A1	сделать, делает, сделал, сделал
andere	andere (r, s)		pron	A1	другие
sollen, soll, sollte, hat gesollt	sollen, soll, sollte, hat gesollt		verb	A1	должен, должен, должен, должен иметь
schon	schon		adv, part	A1	уже
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	пришёл, пришёл, пришёл, пришёл
mir	mir		pron	A1	я
immer	immer		adv	A1	всегда
mich	mich		pron, (Reflexive pronoun in the acc.)	A1	я
gehen, geht, ging, ist gegangen	gehen, geht, ging, ist gegangen		verb	A1	пошел, пошел, пошел, ушел
groß	groß		adj	A1	большой
hier	hier		adv	A1	здесь
ganz	ganz		adj, part	A2	полностью
zwei	zwei		num	A1	два
also	also		adv	A1	так
jetzt	jetzt		adv	A1	сейчас
doch	doch		adv, part	A1	да
wieder	wieder		adv	A2	снова
uns	uns		pron	A1	мы
gut	gut		adj	A1	хорошо
bis	bis		prep, conj	A1	пока
wissen, weiß, wusste, hat gewusst	wissen, weiß, wusste, hat gewusst		verb	A1	знать, знать, знал, знал
sehen, sieht, sah, hat gesehen	sehen, sieht, sah, hat gesehen		verb	A1	видеть, видит, видел, видел
einer	einer		pron	A1	один
sehr	sehr		adv	A1	очень
Mal	Mal		das, conj, part	A1	раз
lassen, lässt, ließ, hat gelassen	lassen, lässt, ließ, hat gelassen		verb	A2	позволь, позволь, позволь, позволил
neu	neu		adj	A1	новый
stehen, steht, stand, hat gestanden	stehen, steht, stand, hat gestanden		verb	A1	стоять, стоит, стоял, стоял
unser	unser		pron	A1	наш
jede	jede (r, s)		pron	A1	каждый
weil	weil		conj	A1	потому что
unter	unter		prep	A1	под
Mensch	der Mensch, -en		der	A1	Человек
ihm	ihm		pron	A1	он
ihn	ihn		pron	A1	он
denn	denn		conj, part	A1	потому что
Beispiel	das Beispiel, -e		das	A1	Пример
erste	erste (r, s)		adj	A1	первый
Zeit	die Zeit, -en		die	A1	время
lang	lang		adj, adv	A1	длинный
leben, lebt, lebte, hat gelebt	leben, lebt, lebte, hat gelebt		verb	A1	жить, живет, жил, жил
Frau	die Frau, -en		die	A1	г-жа
etwas	etwas		pron	A2	что-то
selbst, selber	selbst, selber		pron, part	A2	себя, себя
